"Headline","Positive","Negative","Neutral"
"Top Five Weekend Stock Stories - Jan. 20","0.02721880003809929","0.0855703204870224","0.8872108459472656"
"Top Research Reports for McDonald's, CVS Health & Celgene","0.04773304611444473","0.021919647231698036","0.9303473234176636"
"Turtle Beach (HEAR) to Report Q1 Earnings: What's in Store?","0.04158059507608414","0.0654030591249466","0.8930163383483887"
"Bullish Quintet","0.07275006920099258","0.04698958620429039","0.8802603483200073"
"Agilent Technologies (A) Earnings Expected to Grow: Should You Buy?","0.22092671692371368","0.01327437348663807","0.7657989263534546"
"Agilent FQ1 non-GAAP earnings up 13%; soft guidance pressures shares, down 4% after hours","0.3872873783111572","0.5897507667541504","0.02296188287436962"
"Oppenheimer likes Millendo Therapeutics in premarket analyst action","0.07303304970264435","0.01579294539988041","0.9111740589141846"
"Dividend Increases: November 18-22, 2019","0.042913831770420074","0.04189160838723183","0.9151945114135742"
"Sit Investment Associates Inc Buys United Technologies Corp, Corning Inc, Comcast Corp, Sells ...","0.062027860432863235","0.013882815837860107","0.924089252948761"
"Yes, You Can Time the Market. Find out How - November 21, 2019","0.03438834473490715","0.02493191696703434","0.9406797885894775"
"Why Is Agilent (A) Up 3.9% Since Last Earnings Report?","0.7009618282318115","0.05815137177705765","0.24088677763938904"
"Agilent Technologies to Change Location of Annual Meeting","0.02284127287566662","0.1798560619354248","0.7973026633262634"
"GoDaddy (GDDY) Q4 Earnings Miss Estimates, Revenues Beat","0.061537861824035645","0.8559497594833374","0.08251233398914337"
"Expedia Group (EXPE) Q1 Earnings Top, Revenues Lag Estimates","0.02786390297114849","0.9615650773048401","0.01057103369385004"
"Bill Ackman on Agilent Technologies","0.03572747856378555","0.025920439511537552","0.938352108001709"
"Tracking William Von Mueffling's Cantillon Capital Management Portfolio - Q3 2018 Update","0.034504517912864685","0.018756018951535225","0.9467394948005676"
"Eyes On Cyber Monday, Argentina And Mars (Stocks To Watch Podcast)","0.040173985064029694","0.029371323063969612","0.930454671382904"
"The Zacks Analyst Blog Highlights: McDonald's, CVS Health, Celgene, Coca-Cola and Agilent","0.03541773557662964","0.022565223276615143","0.9420170187950134"
"MACOM (MTSI) Q2 Loss Wider Than Expected, Revenues Fall Y/Y","0.010862015187740326","0.9752748608589172","0.013863233849406242"
"Top Ranked Momentum Stocks to Buy for February 25th","0.09709472209215164","0.023501377552747726","0.8794038891792297"
"Agilent declares $0.164 dividend","0.028638610616326332","0.054831430315971375","0.9165299534797668"
"Trimble Strengthens Forestry Division With 3LOG Acquisition","0.47613537311553955","0.01066749170422554","0.513197124004364"
"What's in the Offing for Mettler-Toledo's (MTD) Q1 Earnings?","0.028321748599410057","0.40345731377601624","0.5682209730148315"
"Agilent Technologies, Inc. (A) CEO Mike McMullen on Q4 2019 Results - Earnings Call Transcript","0.027364354580640793","0.06129392981529236","0.9113417267799377"
"Stocks With Rising Relative Strength: Agilent Technologies","0.8494647741317749","0.015018637292087078","0.13551659882068634"
"Cookson Peirce & Co Inc Buys Eli Lilly and Co, Vertex Pharmaceuticals Inc, Netflix Inc, ...","0.10503242164850235","0.015249752439558506","0.8797178268432617"
"Walmart And Alibaba Step To The Plate (Stocks To Watch Podcast)","0.09330205619335175","0.023896243423223495","0.8828017115592957"
"What Makes Agilent (A) a New Buy Stock","0.044975314289331436","0.016900936141610146","0.9381237626075745"
"Why Is Agilent (A) Up 5.4% Since Last Earnings Report?","0.7115892171859741","0.05466705188155174","0.23374365270137787"
"Fiber Optic Sensor Market - The Mastermind Behind Today's Technology","0.045060936361551285","0.019503021612763405","0.9354360699653625"
"Dividend Challenger Highlights: Week Of July 21","0.029332110658288002","0.05341142788529396","0.9172564148902893"
"Square (SQ) Surpasses Q4 Earnings and Revenue Estimates","0.9510305523872375","0.02269028127193451","0.026279142126441002"
"Agilent Introduces CrossLab Connect Services for Lab-wide Asset Monitoring","0.18223358690738678","0.007301751524209976","0.8104647397994995"
"Parnassus Endeavor Fund Adds to Cisco, Alphabet","0.07136987894773483","0.010425789281725883","0.9182043075561523"
"Stocks To Watch: Paint It Black","0.04595326632261276","0.030495064333081245","0.9235516786575317"
"Notable earnings after Monday's close","0.8940557837486267","0.07122866064310074","0.03471553325653076"
"Agilent readies debt offering","0.04159044846892357","0.017410943284630775","0.9409985542297363"
"Agilent Technologies (A) Reports Next Week: Wall Street Expects Earnings Growth","0.9148575663566589","0.019531575962901115","0.06561087816953659"
"When Does Market Timing Actually Work? - November 01, 2019","0.02429095096886158","0.042180128395557404","0.9335289597511292"
"Agilent Technologies Inc (A) Presents at The 31st Annual Piper Jaffray Healthcare Conference (Transcript)","0.048349201679229736","0.021610835567116737","0.9300399422645569"
"Trimble Strengthens Agriculture Portfolio with Weedseeker 2","0.7884701490402222","0.008360685780644417","0.20316915214061737"
"Notable earnings after Tuesday's close","0.8953564763069153","0.06655147671699524","0.038092005997896194"
"Cypress Looks to Gain Traction With New USB-C Controller","0.9349851012229919","0.01040079165250063","0.05461410805583"
"The Top Large-Cap Sectors, Industries, And Stocks To Buy Now","0.06954585015773773","0.014777940697968006","0.9156762361526489"
"Agilent to acquire BioTek for $1.165B","0.04844120889902115","0.01216952782124281","0.9393892884254456"
"KraneShares Joins with Nasdaq Dorsey Wright to Launch KraneShares China Rotation Model","0.19632238149642944","0.007411554455757141","0.7962660789489746"
"Agilent Technologies Inc (A) CEO and President Michael R. Mcmullen Sold $4 million of Shares","0.034016549587249756","0.019255399703979492","0.9467280507087708"
"Electronics Testing Equipment Outlook: Solid Demand Ahead","0.9541733264923096","0.018178531900048256","0.02764817140996456"
"Agilent Technologies Inc. 2019 Q1 - Results - Earnings Call Slides","0.09183603525161743","0.1666203886270523","0.7415435910224915"
"50 Firms Going Ex-Dividend Next Week, Including Cardinal Health, JP Morgan Chase And Comcast","0.05565642565488815","0.027131086215376854","0.9172124862670898"
"Agilent Technologies, Inc. (A) CEO Michael McMullen on Q3 2019 Results - Earnings Call Transcript","0.0268403310328722","0.06488878279924393","0.9082708358764648"
"Global Stock Markets Red on Tuesday","0.11897406727075577","0.7929216027259827","0.08810436725616455"
"TDAM USA Inc. Buys Phillips 66, DuPont de Nemours Inc, Agilent Technologies Inc, Sells Apple ...","0.09640416502952576","0.015964867547154427","0.8876309990882874"
"Agilent completes BioTek buy","0.08404774218797684","0.011512850411236286","0.9044394493103027"
"BMO likes Amgen and Gilead in premarket analyst action","0.1446748524904251","0.011426336131989956","0.8438987731933594"
"Agilent Technologies Inc (A) CEO and President Michael R. Mcmullen Sold $67–,6—7 of Shares","0.02619389072060585","0.023780854418873787","0.9500252604484558"
"Trimble's (TRMB) Q1 Earnings Miss Estimates, Revenues Up Y/Y","0.9438159465789795","0.038055263459682465","0.018128784373402596"
"Oxford Asset Management Buys Federal Street Acquisition Corp, Tesaro Inc, BHP Group PLC, Sells ...","0.07804734259843826","0.011991547420620918","0.9099610447883606"
"Dean Capital Investments Management, LLC Buys The Chemours Co, Delek US Holdings Inc, Alcoa ...","0.0670485720038414","0.012674192897975445","0.9202772974967957"
"Bill Ackman's Pershing Square —…–9 Annual Letter to Shareholders","0.11558768153190613","0.017748363316059113","0.8666639924049377"
"Pershing Square Capital Management, L.P. Buys Agilent Technologies Inc, The Howard Hughes Corp, ...","0.09321314841508865","0.011666330508887768","0.8951205611228943"
"Royal London Asset Management Ltd Buys Apple Inc, Amazon. ...","0.10696446895599365","0.015613466501235962","0.8774220943450928"
"Agilent Technologies (A) Surpasses Q4 Earnings and Revenue Estimates","0.9576000571250916","0.018469078466296196","0.023930858820676804"
"Meridian Management Co Buys CVS Health Corp, Boeing Co, LiveRamp Holdings Inc, Sells iShares ...","0.07936233282089233","0.011260747909545898","0.909376859664917"
"Agilent to Acquire BioTek, Cell Analysis Portfolio to Expand","0.2915753722190857","0.009109209291636944","0.6993154287338257"
"Agilent Technologies (A) Tops Q3 Earnings and Revenue Estimates","0.9463028907775879","0.028051018714904785","0.025646166875958443"
"Agilent Technologies Announces Cash Dividend of –8 Cents Per Share","0.117508664727211","0.04042592644691467","0.8420653343200684"
"Why Is Agilent (A) Down 19.3% Since Last Earnings Report?","0.009210705757141113","0.9665675759315491","0.02422170713543892"
"Paint It Black (Stocks To Watch Podcast)","0.0451333224773407","0.05013135075569153","0.9047353267669678"
"Stocks With Rising Relative Strength: Agilent Technologies","0.8494647741317749","0.015018637292087078","0.13551659882068634"
"4 Stocks to Focus on Global Biotechnology Reagents Market","0.0751597210764885","0.014369589276611805","0.9104706645011902"
